gene	score	logfoldchange	pval	pval_adj	cluster
Chil3	68,57831573486328	4,854106426239014	0,0	0,0	AM
Ctsd	66,32756805419922	3,498976945877075	0,0	0,0	AM
Ccl6	64,97451782226562	3,8619015216827393	0,0	0,0	AM
Atp6v0d2	51,39520263671875	4,122635841369629	0,0	0,0	AM
Ctss	50,6046142578125	2,44014310836792	0,0	0,0	AM
Laptm5	50,16537094116211	2,43441104888916	0,0	0,0	AM
Marco	49,26169967651367	5,268608093261719	0,0	0,0	AM
Abcg1	49,15904235839844	3,5602071285247803	0,0	0,0	AM
Cd9	48,02897644042969	2,442023277282715	0,0	0,0	AM
Cebpb	47,56415557861328	3,7134037017822266	0,0	0,0	AM
Plet1	47,39726638793945	4,0950236320495605	0,0	0,0	AM
Psap	47,23318862915039	2,0597052574157715	0,0	0,0	AM
Tmsb4x	45,92412185668945	1,4842077493667603	0,0	0,0	AM
Lgals3	45,70595169067383	2,534169912338257	0,0	0,0	AM
Ftl1	44,893531799316406	1,893181324005127	0,0	0,0	AM
Ctsk	43,272220611572266	4,111992359161377	0,0	0,0	AM
Plin2	42,891761779785156	2,894986867904663	0,0	0,0	AM
Cybb	42,73463439941406	2,8015289306640625	0,0	0,0	AM
Txn1	42,21943664550781	2,1767117977142334	0,0	0,0	AM
Anxa2	41,51327896118164	2,014925479888916	0,0	0,0	AM
Mrc1	41,337345123291016	3,3281378746032715	0,0	0,0	AM
Fth1	41,33456802368164	1,6999905109405518	0,0	0,0	AM
Ctsz	41,038326263427734	2,1116487979888916	0,0	0,0	AM
Mpeg1	40,087345123291016	2,336137056350708	0,0	0,0	AM
Sirpa	39,42975616455078	3,046558141708374	0,0	0,0	AM
Clec7a	38,78562545776367	3,2824530601501465	0,0	0,0	AM
Cd44	38,507972717285156	2,4046006202697754	0,0	0,0	AM
Wfdc21	38,42667770385742	5,011672019958496	0,0	0,0	AM
Klhdc4	38,419898986816406	3,4346163272857666	0,0	0,0	AM
Rplp1	37,90525817871094	1,418501853942871	0,0	0,0	AM
Vim	37,87688446044922	1,662864327430725	0,0	0,0	AM
Msrb1	36,42546081542969	2,886720895767212	1,68338550410979e-290	1,2826887424497172e-287	AM
Actb	36,279048919677734	1,0675090551376343	3,462674035107627e-288	2,560851135670038e-285	AM
Ear2	35,11939239501953	4,22800350189209	3,410258885939347e-270	2,4500274196269966e-267	AM
Pld3	34,989532470703125	2,999978542327881	3,2459801420527617e-268	2,2672269631087968e-265	AM
Mcemp1	34,6124267578125	4,324670314788818	1,642711436337177e-262	1,1163778126134679e-259	AM
Sgk1	34,46438217163086	2,5781960487365723	2,7421813135923886e-260	1,8145302402705426e-257	AM
Cyba	34,386993408203125	2,000005006790161	3,9454371341510013e-259	2,5437953009801776e-256	AM
Lyz2	34,05253601074219	1,438798427581787	3,722615729776687e-254	2,34012931313087e-251	AM
Lcp1	33,30783462524414	1,6751869916915894	2,973669198563304e-243	1,780307428520816e-240	AM
Prdx1	32,889854431152344	1,7256951332092285	3,069650917996573e-237	1,7950319147214843e-234	AM
Cd63	32,71449279785156	1,7474305629730225	9,717798055162226e-235	5,4300896021567595e-232	AM
Taldo1	32,30504608154297	1,9681674242019653	5,94173172872663e-229	3,247931398235459e-226	AM
Sdcbp	32,134578704833984	1,9292559623718262	1,4506211761413615e-226	7,760823292356284e-224	AM
F7	31,888336181640625	4,127927303314209	3,8748125653103725e-223	2,029836707390194e-220	AM
Fabp4	31,64517593383789	4,268305778503418	8,835206774239794e-220	4,533903557923666e-217	AM
Gpnmb	31,518613815307617	2,450191020965576	4,829090528270805e-218	2,3809310065366545e-215	AM
Lamp1	31,19295310974121	1,4305295944213867	1,327697973793439e-213	6,420185682891543e-211	AM
Itgax	30,632614135742188	2,65232253074646	4,5046160995568116e-206	2,0594285786064732e-203	AM
Fcer1g	30,512889862060547	2,1124308109283447	1,7579154228082284e-204	7,8933541618773045e-202	AM
Cox5a	30,390329360961914	2,5968666076660156	7,372141292911547e-203	3,2521489966712435e-200	AM
Naaa	30,355436325073242	2,2526144981384277	2,1298710284537426e-202	9,233725346632649e-200	AM
S100a1	30,242643356323242	2,806654930114746	6,5190809518771855e-201	2,778343907372065e-198	AM
Cd300lf	30,11560821533203	3,1451070308685303	3,0270085117346594e-199	1,2685688171261334e-196	AM
Tyrobp	29,87791633605957	1,8712023496627808	3,8103731843391663e-196	1,57068579869194e-193	AM
Pygl	29,7767276763916	3,169288396835327	7,820135286475695e-195	3,171569383523086e-192	AM
Rplp2	29,712936401367188	1,3584305047988892	5,22634617741525e-194	2,0859757877953404e-191	AM
Hexa	29,454816818237305	1,752303123474121	1,092238470521449e-190	4,2913025533221617e-188	AM
Lpl	29,2415771484375	1,7374868392944336	5,746179542359648e-188	2,2228874552712823e-185	AM
Car4	29,19312286376953	2,960418462753296	2,370957756242289e-187	9,032989815259448e-185	AM
Grn	29,01887321472168	1,5422158241271973	3,8031054533085464e-185	1,4272998003499015e-182	AM
Hebp1	28,355195999145508	4,1760478019714355	7,22228071552433e-177	2,5943464084551327e-174	AM
Nceh1	27,99138069152832	2,439040184020996	2,0688237213693035e-172	7,326841193497343e-170	AM
Atp6ap1	27,8205509185791	1,8960492610931396	2,4474805939899757e-170	8,547486046649712e-168	AM
Chchd2	27,62473487854004	1,5692189931869507	5,615192254078925e-168	1,9341645099837612e-165	AM
Cox4i1	27,159961700439453	1,2570279836654663	1,9312039291487896e-162	6,5621787565468e-160	AM
Arpc5	26,843196868896484	1,4331103563308716	1,0127543257706366e-158	3,3507509896714023e-156	AM
Ctsa	26,729978561401367	1,6886190176010132	2,1106529810713604e-157	6,892515481693423e-155	AM
Atp6v1b2	26,28412628173828	1,9035484790802002	2,9127792809330316e-152	9,389978848597574e-150	AM
Ms4a8a	26,28179931640625	4,498636722564697	3,096620796214678e-152	9,856269610230138e-150	AM
Akr1a1	26,07914161682129	1,3409907817840576	6,287463249809646e-150	1,9518304125489327e-147	AM
Gda	25,93994903564453	2,527395725250244	2,3609902260594926e-148	7,239890150520236e-146	AM
Spp1	25,898847579956055	1,9711233377456665	6,861742901869017e-148	2,0787774128614024e-145	AM
Prr13	25,828872680664062	1,719970703125	4,2035248375265874e-147	1,2583051433286433e-144	AM
Krt79	25,692134857177734	5,071476459503174	1,4311089305976282e-145	4,233556948220866e-143	AM
Reep5	25,578540802001953	2,245121955871582	2,644044184485504e-144	7,73075476963814e-142	AM
Sat1	25,476408004760742	1,5877577066421509	3,5999748536774506e-143	1,0404754907553965e-140	AM
1810037I17Rik	25,269418716430664	1,9084399938583374	6,929606865803463e-141	1,9800564163707737e-138	AM
Il18	25,052717208862305	4,101318836212158	1,6308203639343176e-138	4,5563308945698246e-136	AM
Creg1	25,007925033569336	1,6590461730957031	5,012756438000723e-138	1,38511824872009e-135	AM
Alox5ap	24,57111167907715	1,9866573810577393	2,5728678446760463e-133	7,032039342867303e-131	AM
Tnfaip2	24,55667495727539	3,1709141731262207	3,670231726363833e-133	9,923438361227803e-131	AM
Itgb2	24,539939880371094	1,7133811712265015	5,5385744440407225e-133	1,4815686637808932e-130	AM
Atp6v1e1	24,300790786743164	1,8196735382080078	1,92290464000344e-130	5,089624965567e-128	AM
Nme1	24,284006118774414	2,20365834236145	2,8930059042429483e-130	7,577565985644681e-128	AM
Atp6v0b	24,2655029296875	1,2655613422393799	4,536776489605179e-130	1,1760540704239404e-127	AM
Cstb	24,14098358154297	2,038789987564087	9,286207704373838e-129	2,382670333943675e-126	AM
Cd164	24,109344482421875	1,8552489280700684	1,9948184982631778e-128	5,066637488770465e-126	AM
Tcirg1	24,084705352783203	1,8206366300582886	3,615708542966601e-128	9,091699131289517e-126	AM
Gsr	24,04883575439453	3,0389018058776855	8,585369263217715e-128	2,137416931916925e-125	AM
Slpi	23,91974449157715	1,9624781608581543	1,908621787125992e-126	4,705126944831673e-124	AM
Cotl1	23,847421646118164	1,5078275203704834	1,0769943853633505e-125	2,62922561358849e-123	AM
Acp5	23,743425369262695	2,4157049655914307	1,2847543163578257e-124	3,106264162001685e-122	AM
Prdx5	23,66771697998047	1,5802228450775146	7,756097012691572e-124	1,857400565563139e-121	AM
Anxa5	23,489280700683594	1,3800562620162964	5,249288396048085e-122	1,2452203464021613e-119	AM
Sem1	23,169992446899414	1,5029003620147705	9,141530044782306e-119	2,148259560523842e-116	AM
Fcgr3	23,02617645263672	1,7141715288162231	2,549164308517661e-117	5,935068197933017e-115	AM
Wfdc17	22,791561126708984	2,3760063648223877	5,559700029646528e-115	1,2708968840496542e-112	AM
Cd68	22,723087310791016	2,1770172119140625	2,6491626664806305e-114	6,001188761140131e-112	AM
Ctsb	22,53396987915039	1,0083855390548706	1,9287524892922681e-112	4,3302215485048286e-110	AM
Gns	22,495136260986328	1,4741015434265137	4,631517422671444e-112	1,0306150937440129e-109	AM
Ncf1	22,386425018310547	1,9634809494018555	5,337129484029804e-111	1,17721158663096e-108	AM
Lgals1	22,352928161621094	1,509147047996521	1,1307976502510293e-110	2,47251364483149e-108	AM
Plaur	21,984834671020508	2,290256977081299	4,0225943969422813e-107	8,645139838556724e-105	AM
Lrp1	21,97043228149414	1,9444763660430908	5,523942110463789e-107	1,1771146132848473e-104	AM
Aprt	21,628398895263672	2,337545871734619	9,709695779885373e-104	2,0516831965144347e-101	AM
Ctsl	21,570337295532227	1,6507314443588257	3,4119103653131015e-103	7,149373844649827e-101	AM
Atp5g3	21,497629165649414	1,4159947633743286	1,6384775067294551e-102	3,377009582517389e-100	AM
Nabp1	21,33131217956543	2,9722414016723633	5,815425063010781e-101	1,1888525464179356e-98	AM
Gadd45g	21,13639259338379	1,391752004623413	3,681619034748652e-99	7,405944850300387e-97	AM
Adipor2	21,11622428894043	1,3303464651107788	5,642912810363375e-99	1,1261193858459291e-96	AM
Pgd	21,05735206604004	1,5846318006515503	1,9581725182138936e-98	3,877027399251052e-96	AM
Atp5e	21,027559280395508	1,3786729574203491	3,670487683381889e-98	7,210500999893562e-96	AM
Lipa	21,01842498779297	2,0558454990386963	4,449578520980112e-98	8,67322883023604e-96	AM
Tmem14c	20,946561813354492	1,7397254705429077	2,0167695656057925e-97	3,871119902836462e-95	AM
Cndp2	20,882963180541992	1,835455298423767	7,649756852280061e-97	1,4572207276559252e-94	AM
Ltc4s	20,8765811920166	4,249988555908203	8,742675441087747e-97	1,6528915335800858e-94	AM
Krt19	20,85781478881836	2,301706314086914	1,2945009457983502e-96	2,4291213643357847e-94	AM
Mt1	20,830907821655273	2,3032407760620117	2,2711861813288396e-96	4,2302945577417537e-94	AM
Gstm1	20,73737335205078	1,5575776100158691	1,5939541062148096e-95	2,925545693486963e-93	AM
Mapk3	20,707796096801758	1,687990427017212	2,94629677024048e-95	5,368451615050498e-93	AM
Ch25h	20,62253761291504	3,6093740463256836	1,7227878544241888e-94	3,1165108344961316e-92	AM
Tagln2	20,551645278930664	0,9614596962928772	7,439825762360224e-94	1,3362458485324845e-91	AM
Cytip	20,51503562927246	1,5690298080444336	1,58053319296469e-93	2,8186175274536975e-91	AM
Baz1a	20,502290725708008	1,7528070211410522	2,0539588155176487e-93	3,637098198323329e-91	AM
Etfb	20,464067459106445	1,7185052633285522	4,502097686605135e-93	7,916450792285742e-91	AM
Cox6b1	20,44120216369629	1,4170070886611938	7,194565707685441e-93	1,256301074442711e-90	AM
Ly75	20,37849235534668	3,3183257579803467	2,5952167073033078e-92	4,500463731389081e-90	AM
Gpx1	20,284448623657227	0,8929784297943115	1,7643014120738235e-91	3,0385862333285132e-89	AM
Flna	20,178096771240234	1,386337161064148	1,5250519088200363e-90	2,608668724304749e-88	AM
Abhd12	20,16739845275879	2,567829132080078	1,8933905584615622e-90	3,216844972467296e-88	AM
Fxyd5	20,143341064453125	1,311357855796814	3,078490275022098e-90	5,160575864362043e-88	AM
Sh3bgrl	20,135589599609375	1,3850891590118408	3,6000059487882314e-90	5,994844343197356e-88	AM
Fabp5	20,129629135131836	1,3207433223724365	4,060151074003826e-90	6,716611760251725e-88	AM
Tcf7l2	20,016197204589844	3,3996541500091553	3,97957204848819e-89	6,49781423111919e-87	AM
Sept9	19,973777770996094	2,0866661071777344	9,313460639816425e-89	1,5108836631495743e-86	AM
Ncf2	19,841651916503906	1,6860569715499878	1,3011162542306774e-87	2,0972159110660503e-85	AM
Apbb1ip	19,75840950012207	1,8955680131912231	6,791212210058492e-87	1,087675356827521e-84	AM
Lmna	19,68826675415039	1,4971181154251099	2,7183184048049288e-86	4,326083309418983e-84	AM
Bcl2a1a	19,66636085510254	2,5379133224487305	4,1877353317560805e-86	6,62267955452872e-84	AM
Serpinb6a	19,542848587036133	1,6982970237731934	4,745826952433573e-85	7,458363669933887e-83	AM
Lmo4	19,409048080444336	1,5473591089248657	6,471606939559161e-84	1,0044972623161427e-81	AM
Bhlhe40	19,352754592895508	1,940319538116455	1,9323516019162848e-83	2,980919081606441e-81	AM
Cox6c	19,341259002685547	1,2032636404037476	2,4150534621854662e-83	3,702836543088631e-81	AM
Bcl2a1b	19,33580207824707	1,8216875791549683	2,6845920559309986e-83	4,091155590689997e-81	AM
Bst1	19,179302215576172	2,4044742584228516	5,511452086834934e-82	8,348521850811108e-80	AM
Rpl37a	19,150684356689453	0,8523152470588684	9,552295983141604e-82	1,438278338299974e-79	AM
Cops9	19,102846145629883	1,8050905466079712	2,3909051541111734e-81	3,5785303631027054e-79	AM
Pla2g15	18,98067855834961	2,8113784790039062	2,463909588802285e-80	3,623099801779734e-78	AM
Tgfbi	18,955549240112305	1,4301265478134155	3,973873159833275e-80	5,809479104884168e-78	AM
Tbca	18,945505142211914	1,6982004642486572	4,8096138095138836e-80	6,990620765331017e-78	AM
Tmbim1	18,86574363708496	1,3261027336120605	2,1818303582042456e-79	3,152995652703779e-77	AM
Tkt	18,81843376159668	1,612144112586975	5,333900687179946e-79	7,664053301665128e-77	AM
Ccl9	18,758787155151367	2,1412672996520996	1,6410112994099419e-78	2,344501654753579e-76	AM
Capg	18,587495803833008	1,5701957941055298	4,0568551414376855e-77	5,730877670306214e-75	AM
Anxa1	18,519582748413086	1,5207699537277222	1,435433881081382e-76	2,005221385543964e-74	AM
Cd2	18,504318237304688	1,8928885459899902	1,9057416272035595e-76	2,647506807515663e-74	AM
Neu1	18,494796752929688	2,1189370155334473	2,2740002923187228e-76	3,1417438104590267e-74	AM
Abcc5	18,44980812072754	1,8371115922927856	5,2331112079891684e-76	7,190523569665992e-74	AM
Atp6v1c1	18,419923782348633	2,144040107727051	9,093150307758081e-76	1,2426481765683531e-73	AM
Atp6v1g1	18,414867401123047	1,4606746435165405	9,983392222548609e-76	1,35693187803235e-73	AM
Arpc4	18,384414672851562	1,5192939043045044	1,7511715581015787e-75	2,367376818734634e-73	AM
Abracl	18,353919982910156	1,6512316465377808	3,07134187680989e-75	4,129887245582068e-73	AM
Vdac2	18,274520874023438	1,2680503129959106	1,3204503589404344e-74	1,747511803976696e-72	AM
Dab2	18,198335647583008	1,5586930513381958	5,320037158521661e-74	6,967309080782665e-72	AM
Dhrs7b	18,192304611206055	3,2650842666625977	5,938976243645796e-74	7,737593660439044e-72	AM
Rnh1	18,125926971435547	1,288057565689087	1,9896171421581852e-73	2,578810465957091e-71	AM
Clta	18,1202449798584	1,0754112005233765	2,206095156996856e-73	2,8447314216762023e-71	AM
Hsp90b1	18,055402755737305	0,7009093165397644	7,153916093278649e-73	9,177817355382226e-71	AM
Axl	18,047435760498047	2,435670852661133	8,264042520150665e-73	1,0548190313156775e-70	AM
Clec4n	17,854660034179688	2,1418118476867676	2,6589102596315614e-71	3,3098167563581983e-69	AM
Erp29	17,774250030517578	1,296518325805664	1,118847549970211e-70	1,3858828396059583e-68	AM
Plek	17,648700714111328	1,658195972442627	1,0412356342628605e-69	1,2771643913921768e-67	AM
Chp1	17,567731857299805	1,6302070617675781	4,3523190816549695e-69	5,312575888748262e-67	AM
Psen2	17,341360092163086	1,6634527444839478	2,2924585016833672e-67	2,7713398569628973e-65	AM
Slc7a2	17,312347412109375	2,683948278427124	3,796153294756318e-67	4,5671901720884025e-65	AM
Colgalt1	17,242311477661133	1,5819748640060425	1,2782377274016664e-66	1,5232837751428862e-64	AM
S100a10	17,21099281311035	0,8833350539207458	2,1963060728896831e-66	2,6050054812646737e-64	AM
Ndufa2	17,198139190673828	1,3549336194992065	2,7419377099262627e-66	3,236902521882435e-64	AM
Snx10	17,14797019958496	2,118659257888794	6,508594219106594e-66	7,647598207450248e-64	AM
Trf	17,13258934020996	1,1163183450698853	8,479516079628396e-66	9,917089852197955e-64	AM
Acaa1b	17,08946418762207	5,4964094161987305	1,7779803091266381e-65	2,0697830959717276e-63	AM
Ptpn12	16,97675323486328	1,71055269241333	1,2205452227125404e-64	1,4143138076086096e-62	AM
Hspa8	16,973613739013672	0,673402726650238	1,287585611193299e-64	1,4851532198832799e-62	AM
Canx	16,94776153564453	0,8684191703796387	1,9992289032637507e-64	2,2954616791126488e-62	AM
Mcoln3	16,908109664916992	4,287647247314453	3,920868146948849e-64	4,481374070683128e-62	AM
